,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
mean,mean_exp0,0.8783783783783784,0.8783783783783784,0.8783783783783784,0.8783783783783784,0.898859126984127,1.0,0.8763704211267084,1.0,0.819503710575139,0.825268817204301,1.0,0.9119047619047619,0.95,0.8785714285714286,0.6666666666666666,1.0,0.8571428571428571,0.9,0.8571428571428571,0.7636363636363637,1.0,0.8571428571428571,0.9444444444444444,0.75
std,std_exp0,0.01911099408612287,0.01911099408612287,0.01911099408612287,0.01911099408612287,0.036688179222278315,0.0,0.012429389726957136,0.0,0.005433396262364202,0.011404948083653983,0.0,0.0,0.07071067811865474,0.0,0.0,0.0,0.0,0.14142135623730948,0.0,0.05142594772265802,0.0,0.0,0.07856742013183865,0.0
mean,mean_exp3,0.7567567567567567,0.7567567567567567,0.7567567567567567,0.7567567567567567,0.4648333919167253,1.0,0.6689493726783642,1.0,0.8676587301587301,0.6236559139784946,0.9933333333333333,0.7317460317460318,0.9333333333333332,0.8587301587301588,0.3333333333333333,1.0,0.619047619047619,0.8666666666666667,0.7619047619047619,0.3333333333333333,0.9866666666666667,0.5495726495726495,0.9259259259259259,0.7794871794871795
std,std_exp3,0.04681218398834801,0.04681218398834801,0.04681218398834801,0.04681218398834801,0.06200790795024311,0.0,0.047773869886821134,0.0,0.060805226232611025,0.13502546618144468,0.011547005383792525,0.018028280462857985,0.05773502691896257,0.03161680045562238,0.2886751345948129,0.0,0.08247860988423228,0.11547005383792512,0.08247860988423221,0.2886751345948129,0.023094010767585053,0.05938172202626241,0.06415002990995845,0.0177646236673731
mean,mean_mix10,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9586038961038961,1.0,0.9163574520717376,0.9877777777777778,0.8745559334845048,0.9336917562724015,1.0,0.9063492063492063,0.9,0.9007936507936508,0.888888888888889,1.0,0.8571428571428571,0.8000000000000002,0.8571428571428571,0.888888888888889,1.0,0.8380952380952381,0.8888888888888888,0.8190476190476191
std,std_mix10,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.039871993801347864,7.850462293418876e-17,0.025624936425578566,0.021169509870286256,0.10701975079941856,0.05742462354843047,0.0,0.00962250448649373,0.0,0.00962250448649373,0.0962250448649376,0.0,0.0,1.3597399555105182e-16,0.0,0.0962250448649376,0.0,0.03299144395369285,0.0,0.03299144395369285
mean,mean_mix20,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.9851190476190476,1.0,0.8933537303810413,1.0,0.8291855631141344,0.9560931899641577,1.0,0.8936507936507936,0.9333333333333332,0.9301587301587301,0.9444444444444445,1.0,0.8095238095238094,0.8666666666666667,0.9047619047619048,0.8974358974358975,1.0,0.8492063492063492,0.9259259259259259,0.8630952380952381
std,std_mix20,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.025774565588822615,0.0,0.020778201786453156,0.0,0.03926436135964224,0.06260228843981559,0.0,0.03161680045562231,0.05773502691896257,0.03161680045562238,0.0962250448649376,0.0,0.08247860988423221,0.11547005383792514,0.08247860988423228,0.11750194089630357,0.0,0.013746434980705326,0.06415002990995845,0.01030982623552906
mean,mean_mix30,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.952176527176527,1.0,0.9160724196438482,1.0,0.8576066790352505,0.8279569892473116,1.0,0.8642857142857143,0.9666666666666667,0.8674603174603175,0.6666666666666666,1.0,0.7619047619047619,0.9333333333333332,0.8571428571428571,0.7757575757575758,1.0,0.7985347985347985,0.9629629629629629,0.7205882352941178
std,std_mix30,0.0,0.0,0.0,0.0,0.06185418503797631,0.0,0.007076875711598664,0.0,0.0004820178499727975,0.009312101115961698,0.0,0.041239304942116105,0.05773502691896256,0.00962250448649373,0.0,0.0,0.08247860988423221,0.11547005383792514,0.0,0.04198911048651825,0.0,0.050756067621065944,0.06415002990995845,0.02547133540542464
mean,mean_mix50,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9251322751322751,1.0,0.8862639694572466,1.0,0.8658644265787121,0.92831541218638,1.0,0.834920634920635,1.0,0.9063492063492063,0.888888888888889,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8632478632478633,1.0,0.7509157509157509,1.0,0.8380952380952381
std,std_mix50,0.015604061329449378,0.015604061329449378,0.015604061329449378,0.015604061329449378,0.06049776379229491,0.0,0.0638001095452182,0.0,0.06388209088058691,0.048112522432468774,0.0,0.00962250448649373,0.0,0.00962250448649373,0.0962250448649376,0.0,0.0,0.0,0.0,0.05181348569650489,0.0,0.031722542263166266,0.0,0.03299144395369285
mean,mean_uncertain_max10,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.9871031746031745,1.0,0.8905376253065327,1.0,0.8195786356500641,0.8333333333333334,1.0,0.8678571428571429,0.95,0.8702380952380953,0.6666666666666667,1.0,0.7857142857142857,0.9,0.8571428571428571,0.7878787878787878,1.0,0.7846153846153847,0.9444444444444444,0.7279411764705883
std,std_uncertain_max10,0.0,0.0,0.0,0.0,0.018238865387748344,0.0,0.00355780761355164,0.0,0.09884307328424341,0.11785113019775798,0.0,0.03872251420783476,0.07071067811865474,0.01178511301977575,0.23570226039551587,0.0,0.10101525445522103,0.14142135623730948,0.0,0.17141982574219336,0.0,0.02175713172881685,0.07856742013183865,0.03119588740528883
mean,mean_uncertain_max20,0.9054054054054055,0.9054054054054055,0.9054054054054055,0.9054054054054055,0.9051767676767677,1.0,0.7637441818832795,1.0,0.7408240568954854,0.9086021505376345,1.0,0.8595238095238096,1.0,0.9119047619047619,0.8333333333333334,1.0,0.7857142857142857,1.0,0.8571428571428571,0.8712121212121212,1.0,0.7571428571428571,1.0,0.8571428571428571
std,std_uncertain_max20,0.019110994086122948,0.019110994086122948,0.019110994086122948,0.019110994086122948,0.02160604053625562,0.0,0.10586980960353913,0.0,0.12986582334129562,0.011404948083653983,0.0,0.05050762722761051,0.0,0.0,0.0,0.0,0.10101525445522103,0.0,0.0,0.05356869554443537,0.0,0.06060915267313267,0.0,0.0
mean,mean_uncertain_max30,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8412683823529412,1.0,0.7283944439019626,1.0,0.8071924316285218,0.8844086021505377,1.0,0.7083333333333334,1.0,0.8678571428571429,0.8333333333333334,1.0,0.5,1.0,0.7857142857142857,0.7738095238095238,1.0,0.5357142857142857,1.0,0.7857142857142857
std,std_uncertain_max30,0.0,0.0,0.0,0.0,0.09779044149130134,0.0,0.09880576153480604,0.0,0.05400820405204195,0.022809896167308042,0.0,0.03872251420783476,0.0,0.062292740247386263,0.0,0.0,0.10101525445522107,0.0,0.10101525445522103,0.08417937871268424,0.0,0.05050762722761051,0.0,0.10101525445522103
mean,mean_uncertain_max40,0.8243243243243243,0.8243243243243243,0.8243243243243243,0.8243243243243243,0.8419993150971412,1.0,0.7394139473971406,1.0,0.8182050092764378,0.8010752688172043,1.0,0.7797619047619048,1.0,0.8238095238095239,0.6666666666666667,1.0,0.6428571428571428,1.0,0.7142857142857143,0.6571428571428571,1.0,0.6458333333333333,1.0,0.7142857142857143
std,std_uncertain_max40,0.01911099408612287,0.01911099408612287,0.01911099408612287,0.01911099408612287,0.0020604908531188237,0.0,0.06947253171823588,0.0,0.06049982880467449,0.09504123403044994,0.0,0.015152288168283264,0.0,0.0,0.23570226039551587,0.0,0.10101525445522111,0.0,0.0,0.08081220356417688,0.0,0.029462782549439452,0.0,0.0
