,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
mean,mean_exp0,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8864307760141094,1.0,0.8757472431882877,1.0,0.8182230467944752,0.7948028673835125,1.0,0.9063492063492063,0.9333333333333332,0.8785714285714286,0.611111111111111,1.0,0.8571428571428571,0.8666666666666667,0.8571428571428571,0.7090909090909091,1.0,0.8380952380952381,0.9259259259259259,0.75
mean,mean_exp3,0.7567567567567567,0.7567567567567567,0.7567567567567567,0.7567567567567567,0.4648333919167253,1.0,0.6689493726783642,1.0,0.8676587301587301,0.6236559139784946,0.9933333333333333,0.7317460317460318,0.9333333333333332,0.8587301587301588,0.3333333333333333,1.0,0.619047619047619,0.8666666666666667,0.7619047619047619,0.3333333333333333,0.9866666666666667,0.5495726495726495,0.9259259259259259,0.7794871794871795
mean,mean_mix10,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9586038961038961,1.0,0.9163574520717376,0.9877777777777778,0.8745559334845048,0.9336917562724015,1.0,0.9063492063492063,0.9,0.9007936507936508,0.888888888888889,1.0,0.8571428571428571,0.8000000000000002,0.8571428571428571,0.888888888888889,1.0,0.8380952380952381,0.8888888888888888,0.8190476190476191
mean,mean_mix20,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.9851190476190476,1.0,0.8933537303810413,1.0,0.8291855631141344,0.9560931899641577,1.0,0.8936507936507936,0.9333333333333332,0.9301587301587301,0.9444444444444445,1.0,0.8095238095238094,0.8666666666666667,0.9047619047619048,0.8974358974358975,1.0,0.8492063492063492,0.9259259259259259,0.8630952380952381
mean,mean_mix30,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.952176527176527,1.0,0.9160724196438482,1.0,0.8576066790352505,0.8279569892473116,1.0,0.8642857142857143,0.9666666666666667,0.8674603174603175,0.6666666666666666,1.0,0.7619047619047619,0.9333333333333332,0.8571428571428571,0.7757575757575758,1.0,0.7985347985347985,0.9629629629629629,0.7205882352941178
mean,mean_mix50,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9009009009009009,0.9251322751322751,1.0,0.8862639694572466,1.0,0.8658644265787121,0.92831541218638,1.0,0.834920634920635,1.0,0.9063492063492063,0.888888888888889,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8632478632478633,1.0,0.7509157509157509,1.0,0.8380952380952381
mean,mean_uncertain_max10,0.8738738738738739,0.8738738738738739,0.8738738738738739,0.8738738738738739,0.9914021164021163,1.0,0.9132779180048086,0.9877777777777778,0.8523759309473594,0.8835125448028673,1.0,0.8587301587301588,0.9614583333333333,0.8603174603174604,0.7777777777777778,1.0,0.7619047619047619,0.9333333333333332,0.8095238095238094,0.8329448329448329,1.0,0.7794871794871795,0.9326599326599326,0.7417043740573153
mean,mean_uncertain_max20,0.9099099099099099,0.9099099099099099,0.9099099099099099,0.9099099099099099,0.9055014430014431,1.0,0.7934649936529635,1.0,0.7796588332302617,0.9336917562724015,1.0,0.8531746031746033,1.0,0.9119047619047619,0.888888888888889,1.0,0.7619047619047619,1.0,0.8571428571428571,0.8885003885003885,1.0,0.7611721611721611,1.0,0.8571428571428571
mean,mean_uncertain_max30,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8378378378378378,0.8941789215686274,1.0,0.7665700444083902,1.0,0.8008022462246256,0.867383512544803,1.0,0.753968253968254,0.9666666666666667,0.8587301587301588,0.7777777777777778,1.0,0.6190476190476191,0.9333333333333332,0.7619047619047619,0.7825396825396825,1.0,0.5793650793650794,0.9629629629629629,0.7802197802197802
mean,mean_uncertain_max40,0.8468468468468467,0.8468468468468467,0.8468468468468467,0.8468468468468467,0.8946662100647608,1.0,0.784634308268762,1.0,0.836909915481344,0.839605734767025,1.0,0.7944444444444444,0.9947916666666666,0.8531746031746033,0.7222222222222223,1.0,0.6666666666666666,1.0,0.7619047619047619,0.7411255411255411,1.0,0.6686507936507936,0.9696969696969697,0.7619047619047619
