,path,acc,f1,pr,re,auc_pr,auc_roc,c_acc,c_f1
0,exp0_rep0,0.8919,0.8919,0.8919,0.8919,"['0.92', '1.00', '0.89', '1.00', '0.82']","['0.83', '1.00', '0.91', '1.00', '0.88']","['0.67', '1.00', '0.86', '1.00', '0.86']","['0.80', '1.00', '0.86', '1.00', '0.75']"
1,exp0_rep1,0.8649,0.8649,0.8649,0.8649,"['0.87', '1.00', '0.87', '1.00', '0.82']","['0.82', '1.00', '0.91', '0.90', '0.88']","['0.67', '1.00', '0.86', '0.80', '0.86']","['0.73', '1.00', '0.86', '0.89', '0.75']"
2,exp3_seed1,0.7838,0.7838,0.7838,0.7838,"['0.50', '1.00', '0.72', '1.00', '0.93']","['0.70', '1.00', '0.72', '1.00', '0.84']","['0.50', '1.00', '0.57', '1.00', '0.71']","['0.50', '1.00', '0.53', '1.00', '0.77']"
3,exp3_seed20,0.7027,0.7027,0.7027,0.7027,"['0.50', '1.00', '0.62', '1.00', '0.81']","['0.47', '1.00', '0.72', '0.90', '0.84']","['0.00', '1.00', '0.71', '0.80', '0.71']","['0.00', '1.00', '0.50', '0.89', '0.77']"
4,exp3_seed42,0.7838,0.7838,0.7838,0.7838,"['0.39', '1.00', '0.66', '1.00', '0.86']","['0.70', '0.98', '0.75', '0.90', '0.90']","['0.50', '1.00', '0.57', '0.80', '0.86']","['0.50', '0.96', '0.62', '0.89', '0.80']"
5,mixed_seed1_10percent,0.8919,0.8919,0.8919,0.8919,"['0.92', '1.00', '0.90', '1.00', '0.97']","['0.90', '1.00', '0.91', '0.90', '0.90']","['0.83', '1.00', '0.86', '0.80', '0.86']","['0.83', '1.00', '0.86', '0.89', '0.80']"
6,mixed_seed20_10percent,0.8919,0.8919,0.8919,0.8919,"['0.96', '1.00', '0.91', '1.00', '0.76']","['0.90', '1.00', '0.91', '0.90', '0.90']","['0.83', '1.00', '0.86', '0.80', '0.86']","['0.83', '1.00', '0.86', '0.89', '0.80']"
7,mixed_seed42_10percent,0.9189,0.9189,0.9189,0.9189,"['1.00', '1.00', '0.95', '0.96', '0.90']","['1.00', '1.00', '0.90', '0.90', '0.91']","['1.00', '1.00', '0.86', '0.80', '0.86']","['1.00', '1.00', '0.80', '0.89', '0.86']"
8,mixed_seed1_20percent,0.9189,0.9189,0.9189,0.9189,"['1.00', '1.00', '0.89', '1.00', '0.84']","['0.98', '1.00', '0.91', '0.90', '0.91']","['1.00', '1.00', '0.86', '0.80', '0.86']","['0.92', '1.00', '0.86', '0.89', '0.86']"
9,mixed_seed20_20percent,0.8919,0.8919,0.8919,0.8919,"['0.96', '1.00', '0.87', '1.00', '0.78']","['0.88', '1.00', '0.86', '0.90', '0.97']","['0.83', '1.00', '0.71', '0.80', '1.00']","['0.77', '1.00', '0.83', '0.89', '0.88']"
10,mixed_seed42_20percent,0.9459,0.9459,0.9459,0.9459,"['1.00', '1.00', '0.91', '1.00', '0.86']","['1.00', '1.00', '0.91', '1.00', '0.91']","['1.00', '1.00', '0.86', '1.00', '0.86']","['1.00', '1.00', '0.86', '1.00', '0.86']"
11,mixed_seed1_30percent,0.8649,0.8649,0.8649,0.8649,"['1.00', '1.00', '0.92', '1.00', '0.86']","['0.83', '1.00', '0.84', '1.00', '0.86']","['0.67', '1.00', '0.71', '1.00', '0.86']","['0.80', '1.00', '0.77', '1.00', '0.71']"
12,mixed_seed20_30percent,0.8649,0.8649,0.8649,0.8649,"['0.88', '1.00', '0.91', '1.00', '0.86']","['0.82', '1.00', '0.91', '0.90', '0.88']","['0.67', '1.00', '0.86', '0.80', '0.86']","['0.73', '1.00', '0.86', '0.89', '0.75']"
13,mixed_seed42_30percent,0.8649,0.8649,0.8649,0.8649,"['0.97', '1.00', '0.92', '1.00', '0.86']","['0.83', '1.00', '0.84', '1.00', '0.86']","['0.67', '1.00', '0.71', '1.00', '0.86']","['0.80', '1.00', '0.77', '1.00', '0.71']"
14,mixed_seed1_50percent,0.9189,0.9189,0.9189,0.9189,"['0.86', '1.00', '0.84', '1.00', '0.84']","['0.98', '1.00', '0.84', '1.00', '0.91']","['1.00', '1.00', '0.71', '1.00', '0.86']","['0.92', '1.00', '0.77', '1.00', '0.86']"
15,mixed_seed20_50percent,0.8919,0.8919,0.8919,0.8919,"['0.94', '1.00', '0.86', '1.00', '0.82']","['0.90', '1.00', '0.82', '1.00', '0.91']","['0.83', '1.00', '0.71', '1.00', '0.86']","['0.83', '1.00', '0.71', '1.00', '0.86']"
16,mixed_seed42_50percent,0.8919,0.8919,0.8919,0.8919,"['0.97', '1.00', '0.96', '1.00', '0.94']","['0.90', '1.00', '0.84', '1.00', '0.90']","['0.83', '1.00', '0.71', '1.00', '0.86']","['0.83', '1.00', '0.77', '1.00', '0.80']"
17,uncertain_seed1_max_10percent,0.8649,0.8649,0.8649,0.8649,"['1.00', '1.00', '0.89', '1.00', '0.75']","['0.92', '1.00', '0.84', '0.90', '0.86']","['0.83', '1.00', '0.71', '0.80', '0.86']","['0.91', '1.00', '0.77', '0.89', '0.71']"
18,uncertain_seed20_max_10percent,0.8649,0.8649,0.8649,0.8649,"['0.97', '1.00', '0.89', '1.00', '0.89']","['0.75', '1.00', '0.90', '1.00', '0.88']","['0.50', '1.00', '0.86', '1.00', '0.86']","['0.67', '1.00', '0.80', '1.00', '0.75']"
19,uncertain_seed1_max_20percent,0.9189,0.9189,0.9189,0.9189,"['0.92', '1.00', '0.69', '1.00', '0.65']","['0.92', '1.00', '0.90', '1.00', '0.91']","['0.83', '1.00', '0.86', '1.00', '0.86']","['0.91', '1.00', '0.80', '1.00', '0.86']"
20,uncertain_seed20_max_20percent,0.8919,0.8919,0.8919,0.8919,"['0.89', '1.00', '0.84', '1.00', '0.83']","['0.90', '1.00', '0.82', '1.00', '0.91']","['0.83', '1.00', '0.71', '1.00', '0.86']","['0.83', '1.00', '0.71', '1.00', '0.86']"
21,uncertain_seed1_max_30percent,0.8378,0.8378,0.8378,0.8378,"['0.91', '1.00', '0.80', '1.00', '0.85']","['0.87', '1.00', '0.68', '1.00', '0.91']","['0.83', '1.00', '0.43', '1.00', '0.86']","['0.71', '1.00', '0.50', '1.00', '0.86']"
22,uncertain_seed20_max_30percent,0.8378,0.8378,0.8378,0.8378,"['0.77', '1.00', '0.66', '1.00', '0.77']","['0.90', '1.00', '0.74', '1.00', '0.82']","['0.83', '1.00', '0.57', '1.00', '0.71']","['0.83', '1.00', '0.57', '1.00', '0.71']"
23,uncertain_seed1_max_40percent,0.8108,0.8108,0.8108,0.8108,"['0.84', '1.00', '0.79', '1.00', '0.86']","['0.73', '1.00', '0.79', '1.00', '0.82']","['0.50', '1.00', '0.71', '1.00', '0.71']","['0.60', '1.00', '0.62', '1.00', '0.71']"
24,uncertain_seed20_max_40percent,0.8378,0.8378,0.8378,0.8378,"['0.84', '1.00', '0.69', '1.00', '0.78']","['0.87', '1.00', '0.77', '1.00', '0.82']","['0.83', '1.00', '0.57', '1.00', '0.71']","['0.71', '1.00', '0.67', '1.00', '0.71']"
25,uncertain_seed1_max_50percent,0.8378,0.8378,0.8378,0.8378,"['0.91', '1.00', '0.65', '1.00', '0.79']","['0.83', '0.98', '0.74', '1.00', '0.90']","['0.67', '1.00', '0.57', '1.00', '0.86']","['0.80', '0.96', '0.57', '1.00', '0.80']"
26,uncertain_seed1_misscl_10percent,0.8649,0.8649,0.8649,0.8649,"['0.66', '1.00', '0.87', '1.00', '0.52']","['0.90', '1.00', '0.84', '1.00', '0.81']","['0.83', '1.00', '0.71', '1.00', '0.71']","['0.83', '1.00', '0.77', '1.00', '0.67']"
27,uncertain_seed1_misscl_20percent,0.8378,0.8378,0.8378,0.8378,"['0.82', '1.00', '0.84', '1.00', '0.74']","['0.80', '1.00', '0.82', '1.00', '0.82']","['0.67', '1.00', '0.71', '1.00', '0.71']","['0.67', '1.00', '0.71', '1.00', '0.71']"
28,uncertain_seed1_misscl_30percent,0.8649,0.8649,0.8649,0.8649,"['0.90', '1.00', '0.82', '1.00', '0.87']","['0.82', '1.00', '0.82', '1.00', '0.90']","['0.67', '1.00', '0.71', '1.00', '0.86']","['0.73', '1.00', '0.71', '1.00', '0.80']"
29,uncertain_seed1_misscl_40percent,0.8378,0.8378,0.8378,0.8378,"['0.90', '1.00', '0.63', '1.00', '0.80']","['0.82', '1.00', '0.74', '1.00', '0.90']","['0.67', '1.00', '0.57', '1.00', '0.86']","['0.73', '1.00', '0.57', '1.00', '0.80']"
30,uncertain_seed1_misscl_50percent,0.8649,0.8649,0.8649,0.8649,"['0.89', '1.00', '0.67', '1.00', '0.89']","['0.82', '1.00', '0.81', '1.00', '0.91']","['0.67', '1.00', '0.71', '1.00', '0.86']","['0.73', '1.00', '0.67', '1.00', '0.86']"
31,uncertain_seed1_sum_10percent,0.8649,0.8649,0.8649,0.8649,"['0.85', '1.00', '0.86', '1.00', '0.74']","['0.82', '1.00', '0.82', '1.00', '0.90']","['0.67', '1.00', '0.71', '1.00', '0.86']","['0.73', '1.00', '0.71', '1.00', '0.80']"
32,uncertain_seed1_sum_20percent,0.8378,0.8378,0.8378,0.8378,"['0.94', '1.00', '0.73', '1.00', '0.80']","['0.82', '1.00', '0.81', '1.00', '0.82']","['0.67', '1.00', '0.71', '1.00', '0.71']","['0.73', '1.00', '0.67', '1.00', '0.71']"
33,uncertain_seed1_sum_30percent,0.8378,0.8378,0.8378,0.8378,"['0.71', '1.00', '0.67', '1.00', '0.82']","['0.82', '1.00', '0.75', '1.00', '0.88']","['0.67', '1.00', '0.57', '1.00', '0.86']","['0.73', '1.00', '0.62', '1.00', '0.75']"
