,path,acc,f1,pr,re,auc_pr_RUNX1_RUNX1T1,auc_pr_control,auc_pr_NPM1,auc_pr_PML_RARA,auc_pr_CBFB_MYH11,auc_roc_RUNX1_RUNX1T1,auc_roc_control,auc_roc_NPM1,auc_roc_PML_RARA,auc_roc_CBFB_MYH11,c_acc_RUNX1_RUNX1T1,c_acc_control,c_acc_NPM1,c_acc_PML_RARA,c_acc_CBFB_MYH11,c_f1_RUNX1_RUNX1T1,c_f1_control,c_f1_NPM1,c_f1_PML_RARA,c_f1_CBFB_MYH11
std,std_exp0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.03371057654245656,0.0,0.008854937420507091,0.0,0.004436349471045856,0.05338125809536368,0.0,0.00962250448649373,0.05773502691896257,0.0,0.0962250448649376,0.0,0.0,0.11547005383792512,0.0,0.10123207932418225,0.0,0.03299144395369285,0.06415002990995845,0.0
std,std_exp3,0.04681218398834801,0.04681218398834801,0.04681218398834801,0.04681218398834801,0.06200790795024311,0.0,0.047773869886821134,0.0,0.060805226232611025,0.13502546618144468,0.011547005383792525,0.018028280462857985,0.05773502691896257,0.03161680045562238,0.2886751345948129,0.0,0.08247860988423228,0.11547005383792512,0.08247860988423221,0.2886751345948129,0.023094010767585053,0.05938172202626241,0.06415002990995845,0.0177646236673731
std,std_mix10,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.039871993801347864,7.850462293418876e-17,0.025624936425578566,0.021169509870286256,0.10701975079941856,0.05742462354843047,0.0,0.00962250448649373,0.0,0.00962250448649373,0.0962250448649376,0.0,0.0,1.3597399555105182e-16,0.0,0.0962250448649376,0.0,0.03299144395369285,0.0,0.03299144395369285
std,std_mix20,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.025774565588822615,0.0,0.020778201786453156,0.0,0.03926436135964224,0.06260228843981559,0.0,0.03161680045562231,0.05773502691896257,0.03161680045562238,0.0962250448649376,0.0,0.08247860988423221,0.11547005383792514,0.08247860988423228,0.11750194089630357,0.0,0.013746434980705326,0.06415002990995845,0.01030982623552906
std,std_mix30,0.0,0.0,0.0,0.0,0.06185418503797631,0.0,0.007076875711598664,0.0,0.0004820178499727975,0.009312101115961698,0.0,0.041239304942116105,0.05773502691896256,0.00962250448649373,0.0,0.0,0.08247860988423221,0.11547005383792514,0.0,0.04198911048651825,0.0,0.050756067621065944,0.06415002990995845,0.02547133540542464
std,std_mix50,0.015604061329449378,0.015604061329449378,0.015604061329449378,0.015604061329449378,0.06049776379229491,0.0,0.0638001095452182,0.0,0.06388209088058691,0.048112522432468774,0.0,0.00962250448649373,0.0,0.00962250448649373,0.0962250448649376,0.0,0.0,0.0,0.0,0.05181348569650489,0.0,0.031722542263166266,0.0,0.03299144395369285
std,std_uncertain_max10,0.041284465720322856,0.041284465720322856,0.041284465720322856,0.041284465720322856,0.03821200551417445,0.0,0.018598473195310595,0.0,0.027144948493805294,0.10120292403939429,0.0,0.041239304942116105,0.0,0.01924500897298752,0.1924500897298753,0.0,0.08247860988423221,0.0,0.0,0.14061567488909718,0.0,0.05075606762106595,0.0,0.06185895741317416
std,std_uncertain_max20,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.022411268352986048,0.0,0.035712614561962515,0.0,0.14515033890758883,0.053381258095363676,0.0,0.041239304942116105,0.0,0.00962250448649373,0.0962250448649376,0.0,0.08247860988423221,0.0,0.0,0.08344803859524395,0.0,0.050756067621065944,0.0,0.03299144395369285
std,std_uncertain_max30,0.015604061329449314,0.015604061329449314,0.015604061329449314,0.015604061329449314,0.04408573592674736,0.0,0.033458592974690914,0.0,0.12200704900082765,0.048112522432468906,0.0,0.00962250448649373,0.0,0.0,0.09622504486493767,0.0,0.0,0.0,0.0,0.06123411945950578,0.0,0.031722542263166266,0.0,1.3597399555105182e-16
std,std_uncertain_max50,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.015604061329449376,0.018463134063152586,0.0,0.06169610946225196,0.0,0.017912021338494843,1.3597399555105182e-16,0.0,0.009622504486493794,0.0,0.041239304942116105,0.0,0.0,0.0,0.0,0.08247860988423228,0.0,0.0,0.03700963264036062,0.0,0.043301270189221905
